state,poor_rate,rich_rate,gap_pp,poor_pct,rich_pct
nct of delhi,0.73380151916495,0.25120093158876716,48.3,73.4,25.1
meghalaya,0.5146541924969493,0.07389774852209585,44.1,51.5,7.4
haryana,0.5609232218138489,0.19611428028457395,36.5,56.1,19.6
goa,0.5527765077343314,0.2273904258582903,32.5,55.3,22.7
odisha,0.43200671668452567,0.11103458888685608,32.1,43.2,11.1
jharkhand,0.4655976792260673,0.1737913138087684,29.2,46.6,17.4
bihar,0.4939189676421883,0.2024468971519181,29.1,49.4,20.2
punjab,0.4780015729353879,0.19649625470988946,28.2,47.8,19.6
andhra pradesh,0.48148168786882994,0.20511486089526182,27.6,48.1,20.5
tamil nadu,0.4506021449441439,0.17878261880773097,27.2,45.1,17.9
nagaland,0.3957269182495297,0.1254037406197419,27.0,39.6,12.5
uttarakhand,0.41892518101367654,0.15996804042618076,25.9,41.9,16.0
gujarat,0.5072190774797842,0.2544508073025143,25.3,50.7,25.4
uttar pradesh,0.4993836801440369,0.2477076699693978,25.2,49.9,24.8
karnataka,0.49398488547044095,0.24796301170928076,24.6,49.4,24.8
maharashtra,0.5285575561774156,0.28399412454944883,24.5,52.9,28.4
himachal pradesh,0.4419402441144398,0.20917071172983476,23.3,44.2,20.9
telangana,0.46397397012993546,0.23321665703491465,23.1,46.4,23.3
andaman & nicobar islands,0.4221629360917074,0.19610112244294148,22.6,42.2,19.6
kerala,0.4178858406770503,0.2008144775532047,21.7,41.8,20.1
dadra & nagar haveli and daman & diu,0.5098431887780945,0.3020663001547632,20.8,51.0,30.2
madhya pradesh,0.42404661469032834,0.21784623936876735,20.6,42.4,21.8
assam,0.40508977436467586,0.20808631329059388,19.7,40.5,20.8
ladakh,0.36103978210275683,0.17001428943006613,19.1,36.1,17.0
arunachal pradesh,0.3194573222927867,0.1497208616421762,17.0,31.9,15.0
rajasthan,0.38501835130378304,0.2304991818601648,15.5,38.5,23.0
chhattisgarh,0.41273310110084777,0.2610155724060246,15.2,41.3,26.1
west bengal,0.38488435582252245,0.24880638794759186,13.6,38.5,24.9
manipur,0.29090466991773273,0.15886942969546472,13.2,29.1,15.9
mizoram,0.36439299645989753,0.2889228199250975,7.5,36.4,28.9
jammu & kashmir,0.31324229367948014,0.2608534103423563,5.2,31.3,26.1
tripura,0.37154850210815954,0.32116971032386377,5.0,37.2,32.1
chandigarh,0.2,0.1863785425800717,1.4,20.0,18.6
sikkim,0.10699147462402077,0.09753138650825056,0.9,10.7,9.8
puducherry,0.13435922604233697,0.19666432610692752,-6.2,13.4,19.7
